,-277,803,272
6195,-3,-704,273
6197,-3,-704,273
6200,238,-632,318
6202,238,-632,318
6205,-267,883,269
6207,-267,883,269
6210,-68,455,250
6212,-68,455,250
6215,-88,-842,218
6217,-88,-842,218
6220,205,-439,347
6222,205,-439,347
6225,-250,938,270
6230,-6,231,267
6235,-51,-1018,171
6240,132,-155,334
6245,-222,870,259
6250,11,-60,199
6255,15,-1024,162
6260,-1,-6,262
6265,-230,955,244
6270,57,-250,161
6275,24,-1015,182
6280,-57,286,264
6285,-192,860,229
6290,86,-458,303
6295,141,-843,242
6300,-115,456,234
6305,-190,836,236
6310,-4,-520,350
6315,182,-732,266
6320,-217,711,254
6325,-86,674,257
6330,-18,-685,270
6335,231,-581,323
6340,-213,832,283
6345,-58,502,231
6350,-72,-805,234
6355,194,-456,349
6360,-302,871,265
6365,-17,240,257
6370,-17,240,257
6375,-58,-966,166
6380,116,-212,308
6385,-229,976,242
6390,17,40,238
6395,-34,-1024,163
6400,148,-156,271
6405,-275,924,223
6410,55,-117,203
6415,-16,-1024,159
6420,10,1,262
6425,-243,941,226
6430,50,-167,174
6435,-28,-1024,160
6440,1,152,276
6445,-216,919,241
6450,83,-270,175
6455,24,-947,202
6460,-52,243,251
6465,-183,907,243
6470,113,-311,234
6475,35,-912,212
6480,-67,351,256
6485,-162,828,229
6490,112,-457,299
6495,114,-774,266
6500,-86,397,243
6505,-164,862,227
6510,62,-447,350
6515,137,-823,241
6520,-130,509,246
6525,-146,760,241
6530,-20,-525,325
6535,174,-647,268
6540,-179,582,243
6545,-129,794,250
6550,-20,-595,318
6555,236,-690,285
6560,-240,705,252
6565,-81,675,260
6570,-18,-673,278
6575,240,-562,321
6580,-209,788,276
6585,-57,598,269
6590,-43,-740,261
6595,225,-559,338
6600,-277,828,251
6605,-89,509,250
6610,-68,-844,226
6615,159,-444,343
6620,-228,904,284
6625,6,327,254
6630,-88,-946,195
6635,336,-410,332
6640,336,-410,332
6645,-301,912,230
6650,24,141,279
6655,-16,-1024,173
6660,114,-222,305
6665,-234,975,241
6670,39,32,237
6675,-40,-1024,161
6680,144,-167,286
6685,-266,924,215
6690,65,-108,216
6695,-34,-1024,161
6700,36,-62,258
6705,-248,956,219
6710,48,-111,193
6715,-37,-1024,151
6720,66,36,281
6725,-260,918,238
6730,75,-228,154
6735,27,-994,176
6740,-35,137,250
6745,-208,954,246
6750,85,-212,190
6755,-9,-1007,190
6760,-49,234,265
6765,-210,884,240
6770,99,-340,221
6775,59,-928,219
6780,-61,294,247
6785,-179,886,247
6790,114,-335,251
6795,43,-913,230
6800,-95,391,254
6805,-157,807,226
6810,83,-455,324
6815,132,-820,258
6820,-87,386,249
6825,-167,868,228
6830,80,-459,327
6835,119,-807,232
6840,-121,490,263
6845,-151,776,221
6850,38,-524,334
6855,192,-745,279
6860,-126,444,233
6865,-158,833,227
6870,53,-495,345
6875,175,-832,264
6880,-138,487,244
6885,-127,775,238
6890,28,-498,338
6895,126,-673,274
6900,-109,443,251
6905,-109,443,251
6910,-136,825,228
6915,64,-451,319
6920,128,-833,250
6925,-107,446,253
6930,-148,786,228
6935,42,-488,345
6940,174,-763,270
6945,-103,400,250
6950,-146,880,223
6955,72,-433,326
6960,82,-772,228
6965,-115,430,247
6970,-128,764,236
6975,50,-495,329
6980,171,-749,280
6985,-109,412,245
6990,-154,841,224
6995,48,-449,351
7000,112,-808,238
7005,-140,423,251
7010,-158,792,234
7015,28,-490,338
[FEATURES] f0=-27035 f1=139173 f2=141774 f3=-302000 f4=336000 f5=638000 f6=114975 f7=-17280 f8=672269 f9=672491 f10=-1024000 f11=976000 f12=2000000 f13=608648 f14=252680 f15=45337 f16=256715 f17=151000 f18=351000 f19=200000 f20=33751
[SCALED_FEATURES] f0=-104 f1=1477 f2=1492 f3=-1891 f4=2666 f5=2327 f6=1422 f7=-1345 f8=2891 f9=2897 f10=-3195 f11=2925 f12=3066 f13=2892 f14=-512 f15=-105 f16=-393 f17=-231 f18=-14 f19=101 f20=-206
[FEATURES_X] mean=-27035 std=139173 rms=141774 min=-302000 max=336000 p2p=638000 mad=114975
[FEATURES_Y] mean=-17280 std=672269 rms=672491 min=-1024000 max=976000 p2p=2000000 mad=608648
[FEATURES_Z] mean=252680 std=45337 rms=256715 min=151000 max=351000 p2p=200000 mad=33751
[CLASS] CLASS=rotor_unbalance ID=1 scores_x1000=[-8886,13336,-261,-4189]
[CLASS_STATS] condition=rotor_unbalance total_windows=7
predicted_count=[0,7,0,0]
correct_windows=7
accuracy_x1000=1000
current_prediction=1
[CLASS_TIMING] sample_interval_ms=5 window_acquisition_ms=894 feature_extract_ms=8 inference_ms=1 total_cycle_ms=969
7121,218,-592,329
7123,218,-592,329
7126,-256,815,267
7128,-256,815,267
7131,-31,500,255
7133,-31,500,255
7136,-68,-773,251
7138,-68,-773,251
7141,194,-517,344
7144,194,-517,344
7146,-214,852,287
7149,-214,852,287
7151,-34,479,248
7154,-34,479,248
7156,-64,-777,251
7159,-64,-777,251
7161,199,-512,362
7164,199,-512,362
7167,-281,826,250
7169,-281,826,250
7172,-68,421,250
7174,-68,421,250
7177,-90,-847,204
7179,-90,-847,204
7182,170,-431,333
7184,170,-431,333
7187,-230,907,282
7189,-230,907,282
7192,-13,344,252
7195,-13,344,252
7197,-84,-914,200
7200,-84,-914,200
